,0,1,2,3,4,5
34831,22.0,53.0,29.0,47.0,71.0,40.0
36463,91.0,30.0,-52.0,63.0,86.0,121.0
50792,-27.0,-30.0,-18.0,-20.0,-13.0,-24.0
52951,-162.0,-120.0,-180.0,-69.0,104.0,-2.0
37097,71.0,78.0,3.0,37.0,61.0,82.0
43475,5.0,5.0,0.0,2.0,-2.0,5.0
36494,-352.0,-139.0,-317.0,-312.0,251.0,-126.0
32333,77.0,61.0,-49.0,51.0,101.0,78.0
35110,-2.0,-5.0,-33.0,12.0,55.0,12.0
53245,-1249.0,-1157.0,-668.0,-421.0,55.0,-361.0
53458,353.0,448.0,29.0,219.0,336.0,301.0
33784,-144.0,-78.0,-134.0,-45.0,208.0,-11.0
33818,0.0,9.0,6.0,0.0,9.0,0.0
53585,-21.0,-17.0,-19.0,-19.0,6.0,-10.0
42959,-12.0,-9.0,-3.0,-9.0,-6.0,-18.0
37796,-3.0,9.0,-13.0,23.0,47.0,17.0
35086,-137.0,-111.0,-137.0,-89.0,83.0,-39.0
21524,-4.0,2.0,-3.0,6.0,3.0,11.0
37140,173.0,174.0,-14.0,142.0,116.0,158.0
35093,-844.0,-767.0,-520.0,-442.0,123.0,-287.0
53658,-66.0,-99.0,-111.0,-12.0,60.0,22.0
53248,-129.0,-122.0,-137.0,-14.0,75.0,47.0
25906,62.0,55.0,27.0,48.0,60.0,46.0
33796,-20.0,-17.0,-3.0,-6.0,4.0,-9.0
37764,78.0,90.0,5.0,43.0,65.0,71.0
36438,6.0,15.0,0.0,0.0,11.0,13.0
53589,19.0,22.0,20.0,15.0,16.0,11.0
53652,-26.0,-10.0,1.0,-29.0,12.0,-15.0
33780,-2374.0,-2154.0,-1467.0,-1097.0,386.0,-850.0
53685,6.0,5.0,4.0,2.0,3.0,1.0
35097,-31.0,1.0,-21.0,-27.0,10.0,-14.0
53231,28.0,19.0,-17.0,20.0,23.0,27.0
1879,-358.0,-294.0,-216.0,-209.0,37.0,-137.0
53414,0.0,2.0,6.0,5.0,3.0,-2.0
42753,-21.0,3.0,-7.0,2.0,3.0,20.0
53806,-5.0,-12.0,12.0,3.0,27.0,-3.0
33783,121.0,128.0,-185.0,86.0,268.0,181.0
50513,75.0,60.0,9.0,52.0,37.0,86.0
53736,83.0,88.0,-21.0,76.0,34.0,48.0
53500,51.0,43.0,53.0,40.0,17.0,47.0
1311,-195.0,-196.0,-111.0,-73.0,-2.0,-63.0
52937,-183.0,-167.0,-135.0,-57.0,42.0,-82.0
131,-72.0,15.0,-74.0,-8.0,-28.0,44.0
1826,-8.0,-8.0,-1.0,3.0,14.0,5.0
53484,50.0,55.0,3.0,52.0,40.0,33.0
33740,113.0,105.0,9.0,78.0,55.0,101.0
32381,49.0,29.0,-53.0,31.0,97.0,84.0
53377,60.0,49.0,18.0,32.0,16.0,35.0
53727,-8.0,-10.0,-4.0,0.0,7.0,0.0
53332,3.0,2.0,0.0,3.0,1.0,3.0
21514,-10.0,-10.0,-6.0,-2.0,0.0,-4.0
35081,18.0,16.0,21.0,6.0,11.0,14.0
35815,-8.0,5.0,14.0,4.0,87.0,73.0
1243,4.0,13.0,13.0,8.0,15.0,8.0
53757,-48.0,-30.0,-67.0,-4.0,94.0,55.0
53301,0.0,-2.0,-59.0,-5.0,35.0,12.0
33777,-35.0,-45.0,-31.0,-11.0,8.0,-14.0
36454,554.0,588.0,108.0,364.0,432.0,456.0
32392,-1262.0,-1067.0,-958.0,-620.0,516.0,-396.0
53309,-45.0,-44.0,-115.0,-14.0,89.0,15.0
35077,-117.0,-101.0,-83.0,-54.0,31.0,-9.0
42673,-30.0,-18.0,-30.0,-30.0,12.0,-18.0
21669,2.0,1.0,3.0,4.0,0.0,1.0
37798,-385.0,-399.0,-293.0,-99.0,120.0,-45.0
32847,30.0,25.0,3.0,12.0,6.0,19.0
53157,47.0,34.0,-11.0,41.0,56.0,52.0
34673,338.0,369.0,57.0,180.0,249.0,292.0
32365,-15.0,-15.0,-9.0,-3.0,0.0,-6.0
13363,160.0,149.0,-32.0,97.0,128.0,113.0
35776,98.0,96.0,-35.0,54.0,57.0,69.0
53724,-395.0,-316.0,-310.0,-121.0,23.0,-53.0
21854,20.0,25.0,3.0,19.0,14.0,27.0
22302,3.0,-10.0,-13.0,-10.0,47.0,54.0
32379,39.0,25.0,2.0,18.0,38.0,23.0
54020,-49.0,-2.0,-194.0,-3.0,52.0,19.0
33831,3.0,2.0,0.0,3.0,1.0,3.0
34470,-25.0,-35.0,-45.0,-2.0,53.0,36.0
42780,7.0,12.0,-3.0,6.0,9.0,6.0
33787,45.0,41.0,4.0,37.0,16.0,38.0
13430,-67.0,-43.0,-60.0,-45.0,36.0,-11.0
33781,0.0,-3.0,2.0,0.0,-2.0,0.0
52922,-351.0,-362.0,-149.0,-132.0,-82.0,-177.0
53631,20.0,5.0,7.0,9.0,37.0,38.0
35047,-15.0,-13.0,-2.0,-12.0,12.0,-2.0
53139,41.0,61.0,15.0,18.0,32.0,44.0
14221,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
34427,-80.0,-68.0,-56.0,-4.0,49.0,10.0
50712,-35.0,-3.0,-5.0,-38.0,-12.0,-34.0
33775,-32.0,-42.0,0.0,13.0,21.0,-1.0
53423,-45.0,-54.0,-52.0,-11.0,13.0,-14.0
53355,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
36443,195.0,199.0,24.0,168.0,197.0,205.0
16713,-12.0,-14.0,-7.0,-9.0,-5.0,-4.0
35084,175.0,189.0,-1.0,91.0,175.0,139.0
53483,40.0,36.0,37.0,28.0,25.0,41.0
53759,15.0,6.0,-1.0,2.0,17.0,15.0
36448,14.0,14.0,8.0,8.0,4.0,10.0
32391,2.0,1.0,3.0,2.0,0.0,1.0
21657,151.0,136.0,-5.0,123.0,184.0,171.0
37165,-15.0,-15.0,-11.0,-15.0,2.0,-9.0
21488,46.0,14.0,-9.0,30.0,57.0,25.0
33785,-118.0,-77.0,-58.0,-90.0,17.0,-35.0
33744,40.0,17.0,-17.0,48.0,81.0,75.0
37761,-68.0,-54.0,-74.0,-32.0,21.0,-22.0
53288,29.0,22.0,-16.0,20.0,47.0,36.0
53551,-21.0,-15.0,-19.0,-25.0,7.0,-11.0
53307,34.0,37.0,7.0,31.0,28.0,26.0
21639,41.0,67.0,22.0,38.0,90.0,65.0
53339,-41.0,-36.0,-26.0,-24.0,8.0,-24.0
53318,-77.0,-40.0,-1.0,86.0,91.0,151.0
35383,-115.0,-88.0,-105.0,-78.0,60.0,-75.0
51124,12.0,-42.0,-130.0,50.0,-37.0,-50.0
53354,-12.0,-17.0,-36.0,0.0,17.0,2.0
21559,-73.0,-3.0,-74.0,-44.0,51.0,-15.0
36421,-231.0,-332.0,-574.0,-133.0,324.0,125.0
34411,-6.0,-9.0,-15.0,0.0,6.0,0.0
53671,-34.0,-12.0,15.0,-12.0,20.0,-21.0
34426,-446.0,-395.0,-412.0,-67.0,212.0,-9.0
53482,11.0,15.0,-2.0,5.0,16.0,13.0
36452,-576.0,-507.0,-448.0,-191.0,75.0,-192.0
53445,21.0,21.0,-6.0,20.0,8.0,11.0
53604,-1175.0,-966.0,-702.0,-516.0,262.0,-217.0
13429,7.0,8.0,-18.0,-9.0,47.0,17.0
32390,-11.0,-15.0,-17.0,-1.0,13.0,4.0
50647,2.0,-15.0,-1.0,4.0,-2.0,3.0
34475,11.0,9.0,4.0,4.0,3.0,9.0
1018,218.0,171.0,-1.0,99.0,57.0,142.0
35095,17.0,44.0,-35.0,17.0,123.0,93.0
37771,-12.0,3.0,-3.0,-3.0,-12.0,-6.0
36434,60.0,58.0,12.0,61.0,55.0,58.0
53212,-31.0,-15.0,-17.0,-18.0,37.0,21.0
13895,7.0,5.0,3.0,4.0,1.0,4.0
53774,5.0,5.0,20.0,0.0,0.0,5.0
53247,-5.0,-15.0,0.0,5.0,5.0,5.0
34456,-118.0,-63.0,-48.0,-46.0,88.0,31.0
53516,9.0,6.0,-11.0,12.0,14.0,17.0
53666,2007.0,2023.0,506.0,1380.0,1067.0,1527.0
11764,68.0,59.0,-11.0,35.0,57.0,69.0
43140,-24.0,-7.0,-8.0,-16.0,24.0,21.0
53203,-3.0,-1.0,6.0,-3.0,-2.0,-3.0
53405,16.0,76.0,-34.0,-10.0,132.0,46.0
21652,100.0,117.0,-77.0,75.0,306.0,231.0
53509,381.0,352.0,128.0,224.0,207.0,246.0
53629,11.0,9.0,5.0,15.0,7.0,4.0
35076,-10.0,-10.0,-2.0,2.0,7.0,3.0
53388,35.0,34.0,-10.0,61.0,137.0,77.0
37106,-7.0,-5.0,13.0,6.0,-12.0,-14.0
13365,16.0,43.0,-38.0,8.0,5.0,18.0
51027,1.0,3.0,1.0,9.0,8.0,4.0
42812,44.0,33.0,14.0,33.0,16.0,17.0
37143,6.0,14.0,-3.0,5.0,6.0,3.0
37137,1.0,-1.0,0.0,2.0,2.0,0.0
53579,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
36460,95.0,112.0,74.0,110.0,85.0,93.0
53634,7.0,15.0,8.0,5.0,16.0,18.0
13505,-21.0,-6.0,-45.0,-20.0,26.0,11.0
53202,0.0,2.0,2.0,6.0,0.0,8.0
13431,-69.0,-60.0,-17.0,-15.0,3.0,-30.0
37136,39.0,90.0,33.0,14.0,89.0,84.0
53268,-10.0,6.0,-6.0,-6.0,4.0,-6.0
36449,38.0,31.0,3.0,30.0,9.0,22.0
3557,-200.0,-163.0,-132.0,-22.0,199.0,29.0
35754,-22.0,-15.0,-57.0,-27.0,26.0,-20.0
34504,57.0,67.0,15.0,42.0,20.0,37.0
36537,-18.0,-28.0,-12.0,-18.0,-5.0,3.0
13418,-24.0,-16.0,-12.0,-20.0,17.0,-7.0
53767,17.0,30.0,-13.0,6.0,29.0,27.0
53622,-86.0,-103.0,-212.0,9.0,208.0,71.0
44335,82.0,75.0,-10.0,62.0,44.0,42.0
53618,896.0,866.0,154.0,592.0,560.0,719.0
53663,75.0,86.0,19.0,41.0,59.0,71.0
53422,34.0,39.0,18.0,42.0,21.0,32.0
53381,78.0,104.0,43.0,70.0,113.0,165.0
36451,0.0,1.0,3.0,0.0,0.0,1.0
53261,42.0,52.0,14.0,41.0,32.0,58.0
5837,17.0,17.0,5.0,11.0,3.0,12.0
33837,-221.0,-135.0,-223.0,-220.0,85.0,-134.0
53305,13.0,6.0,1.0,10.0,3.0,18.0
35897,1021.0,1068.0,152.0,637.0,764.0,791.0
34408,-2.0,-3.0,-5.0,0.0,2.0,0.0
3051,13.0,13.0,13.0,7.0,2.0,8.0
